batch_id,production_line,weight,baking_time,cooling_type,cooling_time,decoration,decoration_type,decoration_time,additional_cooling_time
08bbfab8-a1ef-4ddf-abfd-b5cfa41c2a1f,1,518,10.0,rack,12.9,yes,sprinkles,2.4,
a2cc0c5d-bc54-4fd3-9ef8-125f24936949,2,501,12.0,conveyor,5.2,no,,,
a93d6bea-2e4f-4bdd-99c8-bc2458086006,1,521,9.2,conveyor,8.9,no,,,
50a008ad-bbc3-433e-8a06-13d29fe5df04,2,522,,conveyor,5.1,no,,,
379644c7-f5d3-4c0b-ace2-551c1cab19bd,1,520,9.4,rack,13.5,yes,glace,3.5,98.6
14c30e21-2439-428f-9bf4-e9f52e4b4c3b,1,526,12.3,conveyor,5.6,yes,sprinkles,1.7,
7ce40570-320e-489f-bd88-2c6cc0a76383,2,532,10.8,conveyor,9.8,yes,glace,3.9,91.6
05f28924-4c54-493c-994d-e789709498f8,1,513,10.0,conveyor,8.3,yes,glace,4.0,85.3
4d062aca-4900-437d-9c98-bd4ec31afd98,2,528,13.3,conveyor,7.3,yes,sprinkles,2.0,
7f78c589-b372-4693-8d82-0047b5fcfd42,1,516,11.2,conveyor,8.8,yes,sprinkles,1.8,
98a21f2d-efac-43cf-8aa7-fed6d067a4df,1,535,11.7,rack,15.9,yes,glace,4.0,77.1
53532f0a-8109-4f87-9130-45589a499fd3,1,522,12.0,conveyor,8.4,yes,sprinkles,1.5,
5540f88e-34f2-4ecb-90b1-af5b0321b831,1,548,10.5,rack,11.9,yes,fondant,8.1,
ea2628d9-30d6-4043-833f-782eac346ead,2,505,10.1,conveyor,6.7,no,,,
f0c04dff-5463-4d16-b6c3-8b35ad8ad114,1,539,10.1,conveyor,5.8,no,,,
71056d45-18ae-420c-9ff4-56bd956fae4d,2,505,9.3,rack,16.1,yes,fondant,7.4,
f941d437-144e-4399-8151-20e84a899cc3,1,531,9.9,rack,14.7,yes,sprinkles,1.8,
79d4411d-1969-4260-9904-e5cecffc44a1,2,509,11.7,rack,14.0,yes,fondant,4.6,
6e62c223-ff44-411f-ba9e-759bc2b1ea01,1,516,11.5,rack,16.6,yes,fondant,5.4,
3a97d8e8-6a01-4ed6-baa3-4724f5a0badd,1,510,11.4,rack,13.2,no,,,
0be284b2-fc93-4de8-8fb5-0fd4175af243,2,522,11.5,rack,16.8,yes,glace,3.5,92.8
7f5d3208-2b70-49a4-afcf-236ceabc36a4,2,535,12.5,conveyor,6.5,no,,,
5edf75df-2471-484e-ad8e-7361c5b2e155,1,514,11.9,rack,17.3,no,,,
